in s,C1 in V,C2 in V,ARB0
-5.176112E-04,1.46484E-02,-4.88281E-02,6.1817395E-06
-5.176088E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.176064E-04,4.88281E-03,6.83594E-02,6.1817395E-06
-5.176040E-04,-4.88281E-03,2.92969E-02,6.1817395E-06
-5.176016E-04,-1.46484E-02,-4.88281E-02,6.1817395E-06
-5.175992E-04,1.46484E-02,-2.92969E-02,6.1817395E-06
-5.175968E-04,3.41797E-02,-2.92969E-02,6.1817395E-06
-5.175944E-04,2.44141E-02,-9.76562E-03,6.1817395E-06
-5.175920E-04,-3.41797E-02,2.92969E-02,6.1817395E-06
-5.175896E-04,1.46484E-02,-6.83594E-02,6.1817395E-06
-5.175872E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.175848E-04,-1.46484E-02,2.92969E-02,6.1817395E-06
-5.175824E-04,4.88281E-03,-2.92969E-02,6.1817395E-06
-5.175800E-04,1.46484E-02,9.76562E-03,6.1817395E-06
-5.175776E-04,-4.88281E-03,6.83594E-02,6.1817395E-06
-5.175752E-04,-2.44141E-02,9.76562E-03,6.1817395E-06
-5.175728E-04,3.41797E-02,-6.83594E-02,6.1817395E-06
-5.175704E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.175680E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.175656E-04,-2.44141E-02,9.76562E-03,6.1817395E-06
-5.175632E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.175608E-04,-3.41797E-02,9.76562E-03,6.1817395E-06
-5.175584E-04,2.44141E-02,9.76562E-03,6.1817395E-06
-5.175560E-04,4.88281E-03,-4.88281E-02,6.1817395E-06
-5.175536E-04,-4.88281E-03,-4.88281E-02,6.1817395E-06
-5.175512E-04,3.41797E-02,4.88281E-02,6.1817395E-06
-5.175488E-04,-1.46484E-02,9.76562E-03,6.1817395E-06
-5.175464E-04,1.46484E-02,2.92969E-02,6.1817395E-06
-5.175440E-04,2.44141E-02,9.76562E-03,6.1817395E-06
-5.175416E-04,4.88281E-03,-9.76562E-03,6.1817395E-06
-5.175392E-04,1.46484E-02,-2.92969E-02,6.1817395E-06
-5.175368E-04,-4.88281E-03,-9.76562E-03,6.1817395E-06
-5.175344E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.175320E-04,3.41797E-02,4.88281E-02,6.1817395E-06
-5.175296E-04,4.88281E-03,9.76562E-03,6.1817395E-06
-5.175272E-04,-4.88281E-03,-2.92969E-02,6.1817395E-06
-5.175248E-04,-3.41797E-02,-9.76562E-03,6.1817395E-06
