time_s,vin
1.524159999999999990e-05,2.903550000000000075e+00
1.524239999999999996e-05,2.874260000000000037e+00
1.524320000000000002e-05,2.913320000000000132e+00
1.524400000000000008e-05,2.903550000000000075e+00
1.524480000000000014e-05,2.913320000000000132e+00
1.524560000000000020e-05,2.903550000000000075e+00
1.524640000000000026e-05,2.932850000000000179e+00
1.524720000000000032e-05,2.874260000000000037e+00
1.524800000000000038e-05,2.903550000000000075e+00
1.524880000000000044e-05,2.874260000000000037e+00
1.524960000000000050e-05,2.903550000000000075e+00
1.525040000000000056e-05,2.874260000000000037e+00
1.525120000000000062e-05,2.893790000000000084e+00
1.525200000000000068e-05,2.874260000000000037e+00
1.525280000000000074e-05,2.923090000000000188e+00
1.525360000000000080e-05,2.884020000000000028e+00
1.525439999999999916e-05,2.893790000000000084e+00
1.525519999999999922e-05,2.874260000000000037e+00
1.525599999999999928e-05,2.884020000000000028e+00
1.525679999999999934e-05,2.884020000000000028e+00
1.525759999999999940e-05,2.913320000000000132e+00
1.525839999999999946e-05,2.884020000000000028e+00
1.525920000000000122e-05,2.884020000000000028e+00
1.525999999999999958e-05,2.854729999999999990e+00
1.526080000000000134e-05,2.893790000000000084e+00
1.526159999999999970e-05,2.854729999999999990e+00
1.526240000000000146e-05,2.923090000000000188e+00
1.526319999999999983e-05,2.874260000000000037e+00
1.526400000000000158e-05,2.913320000000000132e+00
1.526479999999999995e-05,2.903550000000000075e+00
1.526559999999999831e-05,2.913320000000000132e+00
1.526640000000000007e-05,2.884020000000000028e+00
1.526719999999999843e-05,2.913320000000000132e+00
1.526800000000000019e-05,2.893790000000000084e+00
1.526879999999999855e-05,2.913320000000000132e+00
1.526960000000000031e-05,2.884020000000000028e+00
1.527039999999999867e-05,2.932850000000000179e+00
1.527120000000000043e-05,2.903550000000000075e+00
1.527199999999999879e-05,2.923090000000000188e+00
1.527280000000000055e-05,2.893790000000000084e+00
1.527359999999999891e-05,2.913320000000000132e+00
1.527440000000000067e-05,2.874260000000000037e+00
1.527519999999999903e-05,2.903550000000000075e+00
1.527600000000000079e-05,2.874260000000000037e+00
1.527679999999999915e-05,2.923090000000000188e+00
1.527760000000000091e-05,2.884020000000000028e+00
1.527839999999999927e-05,2.913320000000000132e+00
1.527920000000000103e-05,2.884020000000000028e+00
1.527999999999999939e-05,2.923090000000000188e+00
1.528080000000000115e-05,2.844959999999999933e+00
1.528159999999999951e-05,2.893790000000000084e+00
1.528240000000000127e-05,2.874260000000000037e+00
1.528319999999999963e-05,2.903550000000000075e+00
1.528400000000000139e-05,2.884020000000000028e+00
1.528479999999999975e-05,2.913320000000000132e+00
1.528560000000000151e-05,2.893790000000000084e+00
1.528639999999999987e-05,2.903550000000000075e+00
1.528720000000000163e-05,2.884020000000000028e+00
1.528799999999999999e-05,2.903550000000000075e+00
1.528879999999999836e-05,2.884020000000000028e+00
1.528960000000000011e-05,2.903550000000000075e+00
1.529039999999999848e-05,2.893790000000000084e+00
1.529120000000000023e-05,2.903550000000000075e+00
1.529199999999999860e-05,2.893790000000000084e+00
1.529280000000000035e-05,2.903550000000000075e+00
1.529359999999999872e-05,2.884020000000000028e+00
1.529440000000000048e-05,2.913320000000000132e+00
1.529519999999999884e-05,2.903550000000000075e+00
1.529600000000000060e-05,2.903550000000000075e+00
1.529679999999999896e-05,2.893790000000000084e+00
1.529760000000000072e-05,2.913320000000000132e+00
1.529839999999999908e-05,2.903550000000000075e+00
1.529920000000000084e-05,2.893790000000000084e+00
1.529999999999999920e-05,2.874260000000000037e+00
1.530080000000000096e-05,2.913320000000000132e+00
1.530159999999999932e-05,2.903550000000000075e+00
1.530240000000000108e-05,2.913320000000000132e+00
1.530319999999999944e-05,2.874260000000000037e+00
1.530400000000000120e-05,2.903550000000000075e+00
1.530479999999999956e-05,2.884020000000000028e+00
1.530560000000000132e-05,2.923090000000000188e+00
1.530639999999999968e-05,2.893790000000000084e+00
1.530720000000000144e-05,2.932850000000000179e+00
1.530799999999999980e-05,2.893790000000000084e+00
1.530880000000000156e-05,2.932850000000000179e+00
1.530959999999999992e-05,2.903550000000000075e+00
1.531040000000000168e-05,2.903550000000000075e+00
1.531120000000000004e-05,2.874260000000000037e+00
1.531199999999999841e-05,2.923090000000000188e+00
1.531280000000000016e-05,2.874260000000000037e+00
1.531359999999999853e-05,2.884020000000000028e+00
1.531440000000000028e-05,2.874260000000000037e+00
1.531519999999999865e-05,2.903550000000000075e+00
1.531600000000000040e-05,2.893790000000000084e+00
1.531679999999999877e-05,2.893790000000000084e+00
1.531760000000000052e-05,2.884020000000000028e+00
1.531839999999999889e-05,2.893790000000000084e+00
1.531920000000000064e-05,2.854729999999999990e+00
1.531999999999999901e-05,2.884020000000000028e+00
1.532080000000000076e-05,2.874260000000000037e+00
1.532159999999999913e-05,2.913320000000000132e+00
1.532240000000000088e-05,2.854729999999999990e+00
1.532319999999999925e-05,2.923090000000000188e+00
1.532400000000000100e-05,2.884020000000000028e+00
1.532479999999999937e-05,2.932850000000000179e+00
1.532560000000000113e-05,2.874260000000000037e+00
1.532639999999999949e-05,2.903550000000000075e+00
1.532720000000000125e-05,2.903550000000000075e+00
1.532799999999999961e-05,2.962149999999999839e+00
1.532880000000000137e-05,2.893790000000000084e+00
1.532959999999999973e-05,2.884020000000000028e+00
1.533040000000000149e-05,2.893790000000000084e+00
1.533119999999999985e-05,2.903550000000000075e+00
1.533200000000000161e-05,2.884020000000000028e+00
1.533279999999999997e-05,2.923090000000000188e+00
1.533359999999999834e-05,2.884020000000000028e+00
1.533440000000000009e-05,2.903550000000000075e+00
1.533519999999999846e-05,2.893790000000000084e+00
1.533600000000000021e-05,2.903550000000000075e+00
1.533679999999999858e-05,2.903550000000000075e+00
1.533760000000000033e-05,2.884020000000000028e+00
1.533839999999999870e-05,2.893790000000000084e+00
1.533920000000000045e-05,2.913320000000000132e+00
1.533999999999999882e-05,2.893790000000000084e+00
1.534080000000000057e-05,2.913320000000000132e+00
1.534159999999999894e-05,2.893790000000000084e+00
1.534240000000000069e-05,2.913320000000000132e+00
1.534319999999999906e-05,2.884020000000000028e+00
1.534400000000000081e-05,2.903550000000000075e+00
1.534479999999999918e-05,2.884020000000000028e+00
1.534560000000000093e-05,2.893790000000000084e+00
1.534639999999999930e-05,2.854729999999999990e+00
1.534720000000000105e-05,2.962149999999999839e+00
1.534799999999999942e-05,2.844959999999999933e+00
1.534880000000000117e-05,2.893790000000000084e+00
1.534959999999999954e-05,2.903550000000000075e+00
1.535040000000000129e-05,2.932850000000000179e+00
1.535119999999999966e-05,2.874260000000000037e+00
1.535200000000000141e-05,2.913320000000000132e+00
1.535279999999999978e-05,2.893790000000000084e+00
1.535360000000000153e-05,2.893790000000000084e+00
1.535439999999999990e-05,2.874260000000000037e+00
1.535520000000000165e-05,2.903550000000000075e+00
1.535600000000000002e-05,2.884020000000000028e+00
1.535679999999999839e-05,2.923090000000000188e+00
1.535760000000000014e-05,2.884020000000000028e+00
1.535839999999999851e-05,2.903550000000000075e+00
1.535920000000000026e-05,2.884020000000000028e+00
1.535999999999999863e-05,2.913320000000000132e+00
1.536080000000000038e-05,2.874260000000000037e+00
1.536159999999999875e-05,2.893790000000000084e+00
1.536240000000000050e-05,2.884020000000000028e+00
1.536319999999999887e-05,2.903550000000000075e+00
1.536400000000000062e-05,2.884020000000000028e+00
1.536479999999999899e-05,2.942619999999999791e+00
1.536560000000000074e-05,2.903550000000000075e+00
1.536639999999999911e-05,2.913320000000000132e+00
1.536720000000000086e-05,2.874260000000000037e+00
1.536799999999999923e-05,2.903550000000000075e+00
1.536880000000000098e-05,2.864489999999999981e+00
1.536959999999999935e-05,2.913320000000000132e+00
1.537040000000000110e-05,2.884020000000000028e+00
1.537119999999999947e-05,2.903550000000000075e+00
1.537200000000000122e-05,2.884020000000000028e+00
1.537279999999999959e-05,2.932850000000000179e+00
1.537360000000000134e-05,2.893790000000000084e+00
1.537439999999999971e-05,2.893790000000000084e+00
