time_s,h
4.609440000000346641e-05,-1.434002387027367466e-02
4.609520000000346139e-05,-1.158149626198110363e-02
4.609600000000346314e-05,1.047592622109705211e-02
4.609680000000346490e-05,4.268127197609847788e-03
4.609760000000345987e-05,-1.040184688970315942e-02
4.609840000000346163e-05,1.092665357354868916e-02
4.609920000000346338e-05,-7.376816308167169316e-03
4.610000000000346514e-05,-1.000821743087627197e-02
4.610080000000346689e-05,-3.443482477522265967e-03
4.610160000000346187e-05,-2.599725746289496819e-02
4.610240000000346362e-05,-5.345975159482662525e-03
4.610320000000346538e-05,-8.266114005322023825e-03
4.610400000000346036e-05,-1.554428634247224765e-02
4.610480000000346211e-05,-1.058610947045793456e-02
4.610560000000346386e-05,-2.883500702533890389e-02
4.610640000000346562e-05,7.410410314822647206e-03
4.610720000000346737e-05,-5.351014342293358879e-03
4.610800000000346235e-05,-1.977175791890855693e-03
4.610880000000346410e-05,-2.946212419707190319e-02
4.610960000000346586e-05,1.353392245435171629e-02
4.611040000000346084e-05,-1.086836698149157635e-02
4.611120000000346259e-05,-1.069881844054671946e-02
4.611200000000346434e-05,1.408774774741940530e-02
4.611280000000346610e-05,-5.224596766548305488e-03
4.611360000000346785e-05,-5.463225508835488006e-03
4.611440000000346283e-05,1.302220759106114106e-03
4.611520000000346459e-05,-1.391751590943158048e-02
4.611600000000346634e-05,2.299827797385131829e-03
4.611680000000346132e-05,1.389628725142581615e-02
4.611760000000346307e-05,-1.492144521980776420e-02
4.611840000000346483e-05,-2.831477752413374613e-02
4.611920000000346658e-05,-6.624856795290931348e-03
4.612000000000346833e-05,7.113827193608252344e-03
4.612080000000346331e-05,1.318471590002890824e-03
4.612160000000346507e-05,-2.002161364459264029e-02
4.612240000000346682e-05,-7.206402921565068821e-03
4.612320000000346180e-05,-2.505199093522777684e-03
4.612400000000346355e-05,2.677395713950677519e-02
4.612480000000346531e-05,-4.047296251646027507e-04
4.612560000000346706e-05,-1.485548489033385218e-02
4.612640000000346881e-05,-8.375734887425018149e-03
4.612720000000346379e-05,9.618917478716298639e-03
4.612800000000346555e-05,8.753674161918847604e-03
4.612880000000346730e-05,1.589430788892962770e-02
4.612960000000346228e-05,-1.990463938430229660e-02
4.613040000000346403e-05,-1.817352685335199211e-02
4.613120000000346579e-05,2.336206376299185608e-02
4.613200000000346754e-05,1.428458478329850409e-03
4.613280000000346930e-05,-1.281370570326152009e-02
4.613360000000346427e-05,-1.422773762993631737e-02
4.613440000000346603e-05,2.161481557047347304e-02
4.613520000000346778e-05,-1.487720369873341865e-02
4.613600000000346276e-05,9.405930044236369622e-03
4.613680000000346451e-05,2.568449807133328482e-03
4.613760000000346627e-05,-1.693569625706149023e-02
4.613840000000346802e-05,1.142826531705964932e-02
4.613920000000346978e-05,6.026846447503447259e-03
4.614000000000346475e-05,-1.190981909878314690e-02
4.614080000000346651e-05,-1.109634529777264733e-02
4.614160000000346826e-05,5.077792952814772637e-03
4.614240000000346324e-05,1.156850885661774367e-02
4.614320000000346499e-05,-2.237845826432003152e-02
4.614400000000346675e-05,-8.829289669066577029e-03
4.614480000000346850e-05,8.123808725242289558e-03
4.614560000000347026e-05,-8.501610847235824622e-03
4.614640000000346524e-05,-2.629455470472260269e-03
4.614720000000346699e-05,-6.844116488926730614e-03
4.614800000000346874e-05,2.886660023904836711e-02
4.614880000000346372e-05,3.725198731002448554e-03
4.614960000000346548e-05,-2.482030958623624231e-02
4.615040000000346723e-05,2.660128795510570930e-03
4.615120000000346898e-05,9.112262136268008475e-03
4.615200000000347074e-05,7.130458463366439945e-03
4.615280000000346572e-05,2.936485434669419692e-02
4.615360000000346747e-05,-5.786937126490529666e-03
4.615440000000346922e-05,1.941155188673831036e-02
4.615520000000346420e-05,-7.631239702409675564e-05
4.615600000000346596e-05,-3.657951742445049448e-03
4.615680000000346771e-05,-2.201802967991189214e-02
4.615760000000346946e-05,-1.058811442794032557e-03
4.615840000000347122e-05,-1.360469021946857440e-02
4.615920000000346620e-05,-6.637034774291542330e-03
4.616000000000346795e-05,1.498342762822199581e-02
4.616080000000346971e-05,1.227160822759482475e-02
4.616160000000346468e-05,1.376624957411280888e-02
4.616240000000346644e-05,8.609259803512618603e-03
4.616320000000346819e-05,-2.096015791719595123e-02
4.616400000000346995e-05,-3.404406369380468065e-03
4.616480000000347170e-05,-7.260739556684661471e-03
4.616560000000346668e-05,-8.158839388043853322e-03
4.616640000000346843e-05,-1.473838892734544680e-02
4.616720000000347019e-05,-1.164374625522673207e-02
4.616800000000346516e-05,6.043188663571527082e-06
4.616880000000346692e-05,5.402687104144922488e-03
4.616960000000346867e-05,2.009576825511926075e-03
4.617040000000347043e-05,-1.143614425165692325e-02
4.617120000000347218e-05,5.350037354291421916e-03
4.617200000000346716e-05,7.462980026755950888e-03
4.617280000000346891e-05,2.069744979431814916e-02
4.617360000000347067e-05,-1.611937714688197604e-02
4.617440000000346564e-05,1.387202191470580416e-02
4.617520000000346740e-05,7.097598944016476202e-03
4.617600000000346915e-05,-9.926778512150472022e-03
